"Issue Id","Parent Id","Issue Type","Summary","Description","Acceptance Criteria","Status","Priority","Labels"
"348","346","Sub-task","US-21.2: Configure Prettier (.prettierrc)","Configure Prettier (.prettierrc)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"349","346","Sub-task","US-21.3: Add ESLint + Prettier compatibility (eslint-config-prettier)","Add ESLint + Prettier compatibility (eslint-config-prettier)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"350","346","Sub-task","US-21.4: Add lint script to package.json (lint, lint:fix)","Add lint script to package.json (lint, lint:fix)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"351","346","Sub-task","US-21.5: Add format script to package.json (format, format:check)","Add format script to package.json (format, format:check)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"352","346","Sub-task","US-21.6: Configure Ruff for Python (ruff.toml or pyproject.toml)","Configure Ruff for Python (ruff.toml or pyproject.toml)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"353","346","Sub-task","US-21.7: Add Python format check (ruff format --check)","Add Python format check (ruff format --check)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"354","346","Sub-task","US-21.8: Update CI workflow with lint/format jobs","Update CI workflow with lint/format jobs","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"355","346","Sub-task","US-21.9: Configure pre-commit hooks (optional)","Configure pre-commit hooks (optional)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"356","346","Sub-task","US-21.10: Document linting standards in CONTRIBUTING.md","Document linting standards in CONTRIBUTING.md","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"357","346","Sub-task","US-21.11: Fix existing lint/format violations","Fix existing lint/format violations","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"358","346","Sub-task","US-21.12: Add VS Code settings for auto-format on save","Add VS Code settings for auto-format on save","","To Do","High","ci-cd infrastructure devops code-quality mvp"
"359","","Task","[INFRA] Run Unit Tests in Pipeline","As a developer, I want automated tests executed in CI so regressions are caught early.

This ticket covers configuring unit test execution in the CI pipeline for both frontend (Jest) and backend (pytest).","- Jest tests execute on every PR
- pytest tests execute on every PR
- Test failures stop the pipeline
- Test summary visible in PR checks
- Individual test results accessible
- Coverage report generated (optional)
- Flaky test handling (retry or flag)","To Do","High","ci-cd testing infrastructure devops mvp"
"360","359","Sub-task","US-22.1: Configure Jest for CI (jest.config.js updates)","Configure Jest for CI (jest.config.js updates)","","To Do","High","ci-cd testing infrastructure devops mvp"
"361","359","Sub-task","US-22.2: Add Jest test script to package.json (test:ci)","Add Jest test script to package.json (test:ci)","","To Do","High","ci-cd testing infrastructure devops mvp"
"362","359","Sub-task","US-22.3: Configure pytest for CI (pytest.ini updates)","Configure pytest for CI (pytest.ini updates)","","To Do","High","ci-cd testing infrastructure devops mvp"
"363","359","Sub-task","US-22.4: Add test job to frontend CI workflow","Add test job to frontend CI workflow","","To Do","High","ci-cd testing infrastructure devops mvp"
"364","359","Sub-task","US-22.5: Add test job to backend CI workflow","Add test job to backend CI workflow","","To Do","High","ci-cd testing infrastructure devops mvp"
"365","359","Sub-task","US-22.6: Configure test result reporting (JUnit XML)","Configure test result reporting (JUnit XML)","","To Do","High","ci-cd testing infrastructure devops mvp"
"366","359","Sub-task","US-22.7: Add GitHub Actions test summary","Add GitHub Actions test summary","","To Do","High","ci-cd testing infrastructure devops mvp"
"367","359","Sub-task","US-22.8: Configure coverage collection (optional)","Configure coverage collection (optional)","","To Do","High","ci-cd testing infrastructure devops mvp"
"368","359","Sub-task","US-22.9: Add coverage thresholds (optional)","Add coverage thresholds (optional)","","To Do","High","ci-cd testing infrastructure devops mvp"
"369","359","Sub-task","US-22.10: Handle test timeouts appropriately","Handle test timeouts appropriately","","To Do","High","ci-cd testing infrastructure devops mvp"
"370","359","Sub-task","US-22.11: Document test running in CONTRIBUTING.md","Document test running in CONTRIBUTING.md","","To Do","High","ci-cd testing infrastructure devops mvp"
"371","359","Sub-task","US-22.12: Add test status badge to README","Add test status badge to README","","To Do","High","ci-cd testing infrastructure devops mvp"
"372","","Task","[INFRA] Automated Deployment","As a developer, I want successful builds to deploy automatically so updates reach the environment quickly.

This ticket covers setting up automated deployment pipelines for both the React Native frontend (via Expo/EAS) and Django backend (via cloud hosting).","- Deployment triggered after successful CI (lint, test, build)
- Frontend deployed via EAS Update (OTA) on main branch
- Backend deployed to cloud hosting on main branch
- App available and accessible in hosted environment
- Deployment status logged in GitHub Actions
- Rollback mechanism available
- Environment variables securely managed
- Database migrations run automatically (backend)","To Do","High","ci-cd deployment infrastructure devops mvp"
"373","372","Sub-task","US-23.1: Create frontend deployment workflow (deploy-frontend.yml)","Create frontend deployment workflow (deploy-frontend.yml)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"374","372","Sub-task","US-23.2: Create backend deployment workflow (deploy-backend.yml)","Create backend deployment workflow (deploy-backend.yml)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"375","372","Sub-task","US-23.3: Configure EAS project for deployment (eas.json)","Configure EAS project for deployment (eas.json)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"376","372","Sub-task","US-23.4: Set up EAS Update for OTA deployments","Set up EAS Update for OTA deployments","","To Do","High","ci-cd deployment infrastructure devops mvp"
"377","372","Sub-task","US-23.5: Configure cloud provider for backend (Railway/Render/Fly.io)","Configure cloud provider for backend (Railway/Render/Fly.io)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"378","372","Sub-task","US-23.6: Create Dockerfile for backend (if not exists)","Create Dockerfile for backend (if not exists)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"379","372","Sub-task","US-23.7: Configure environment variables in GitHub Secrets","Configure environment variables in GitHub Secrets","","To Do","High","ci-cd deployment infrastructure devops mvp"
"380","372","Sub-task","US-23.8: Add deployment job dependencies (requires: [lint, test, build])","Add deployment job dependencies (requires: [lint, test, build])","","To Do","High","ci-cd deployment infrastructure devops mvp"
"381","372","Sub-task","US-23.9: Configure staging environment deployment","Configure staging environment deployment","","To Do","High","ci-cd deployment infrastructure devops mvp"
"382","372","Sub-task","US-23.10: Configure production deployment (manual trigger or tags)","Configure production deployment (manual trigger or tags)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"383","372","Sub-task","US-23.11: Add database migration step to backend deployment","Add database migration step to backend deployment","","To Do","High","ci-cd deployment infrastructure devops mvp"
"384","372","Sub-task","US-23.12: Configure deployment notifications (optional)","Configure deployment notifications (optional)","","To Do","High","ci-cd deployment infrastructure devops mvp"
"385","372","Sub-task","US-23.13: Document rollback procedures","Document rollback procedures","","To Do","High","ci-cd deployment infrastructure devops mvp"
"386","372","Sub-task","US-23.14: Add deployment status badges to README","Add deployment status badges to README","","To Do","High","ci-cd deployment infrastructure devops mvp"
"387","","Task","[INFRA] Environment Configuration","As a developer, I want environment-specific configs so deployments behave correctly across stages.

This ticket covers setting up proper environment variable management for both frontend and backend.","- Environment variables separated by stage (dev/staging/prod)
- Secrets stored securely (not in repository)
- .env files gitignored with .env.example provided
- GitHub Secrets configured for CI/CD
- Cloud provider secrets configured for runtime
- Documentation provided for all environment variables
- Local development setup documented
- Environment switching is straightforward","To Do","High","ci-cd configuration infrastructure devops security mvp"
"388","387","Sub-task","US-24.1: Create .env.example for frontend (pursuit/)","Create .env.example for frontend (pursuit/)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"389","387","Sub-task","US-24.2: Create .env.example for backend (pursuit-backend/)","Create .env.example for backend (pursuit-backend/)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"390","387","Sub-task","US-24.3: Update .gitignore to exclude .env files","Update .gitignore to exclude .env files","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"391","387","Sub-task","US-24.4: Configure Expo environment variables (app.config.js)","Configure Expo environment variables (app.config.js)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"392","387","Sub-task","US-24.5: Set up EAS environment profiles (eas.json)","Set up EAS environment profiles (eas.json)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"393","387","Sub-task","US-24.6: Configure Django settings for environment-based config","Configure Django settings for environment-based config","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"394","387","Sub-task","US-24.7: Create settings modules (base.py, development.py, staging.py, production.py)","Create settings modules (base.py, development.py, staging.py, production.py)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"395","387","Sub-task","US-24.8: Set up GitHub Secrets for CI/CD workflows","Set up GitHub Secrets for CI/CD workflows","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"396","387","Sub-task","US-24.9: Configure cloud provider environment variables","Configure cloud provider environment variables","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"397","387","Sub-task","US-24.10: Document all environment variables in README/docs","Document all environment variables in README/docs","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"398","387","Sub-task","US-24.11: Create local development setup guide","Create local development setup guide","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"399","387","Sub-task","US-24.12: Add environment validation on app startup","Add environment validation on app startup","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"400","387","Sub-task","US-24.13: Configure feature flags structure (optional)","Configure feature flags structure (optional)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"401","387","Sub-task","US-24.14: Set up secret rotation reminders (optional)","Set up secret rotation reminders (optional)","","To Do","High","ci-cd configuration infrastructure devops security mvp"
"402","","Story","[INFRA] Basic Monitoring & Health Check","As a developer, I want to verify deployed service availability so I can detect failures.

This ticket covers implementing health check endpoints and Sentry integration for error logging.","- Health endpoint returns 200 OK when service is healthy
- Health endpoint returns error status when unhealthy
- Database connectivity verified in health check
- Sentry captures unhandled exceptions (frontend)
- Sentry captures unhandled exceptions (backend)
- Errors include context (environment, version, user)
- Manual verification procedure documented
- Health check URL documented for uptime monitoring","To Do","High","monitoring infrastructure devops observability mvp"
"403","402","Sub-task","US-25.1: Create backend health endpoint (/health or /api/health)","Create backend health endpoint (/health or /api/health)","","To Do","High","monitoring infrastructure devops observability mvp"
"404","402","Sub-task","US-25.2: Add database connectivity check to health endpoint","Add database connectivity check to health endpoint","","To Do","High","monitoring infrastructure devops observability mvp"
"405","402","Sub-task","US-25.3: Install and configure Sentry for Django (sentry-sdk)","Install and configure Sentry for Django (sentry-sdk)","","To Do","High","monitoring infrastructure devops observability mvp"
"406","402","Sub-task","US-25.4: Install and configure Sentry for React Native (@sentry/react-native)","Install and configure Sentry for React Native (@sentry/react-native)","","To Do","High","monitoring infrastructure devops observability mvp"
"407","402","Sub-task","US-25.5: Configure Sentry DSN per environment (dev/staging/prod)","Configure Sentry DSN per environment (dev/staging/prod)","","To Do","High","monitoring infrastructure devops observability mvp"
"408","402","Sub-task","US-25.6: Add Sentry release tracking (version/commit)","Add Sentry release tracking (version/commit)","","To Do","High","monitoring infrastructure devops observability mvp"
"409","402","Sub-task","US-25.7: Upload source maps to Sentry (for readable stack traces)","Upload source maps to Sentry (for readable stack traces)","","To Do","High","monitoring infrastructure devops observability mvp"
"410","402","Sub-task","US-25.8: Test error capture (intentional test error)","Test error capture (intentional test error)","","To Do","High","monitoring infrastructure devops observability mvp"
"411","402","Sub-task","US-25.9: Add error boundary with Sentry reporting (frontend)","Add error boundary with Sentry reporting (frontend)","","To Do","High","monitoring infrastructure devops observability mvp"
"412","402","Sub-task","US-25.10: Document health check endpoints","Document health check endpoints","","To Do","High","monitoring infrastructure devops observability mvp"
"413","402","Sub-task","US-25.11: Document manual verification procedures","Document manual verification procedures","","To Do","High","monitoring infrastructure devops observability mvp"
"414","402","Sub-task","US-25.12: Configure Sentry alerts (optional)","Configure Sentry alerts (optional)","","To Do","High","monitoring infrastructure devops observability mvp"
"415","402","Sub-task","US-25.13: Add health check to deployment verification","Add health check to deployment verification","","To Do","High","monitoring infrastructure devops observability mvp"
"416","402","Sub-task","US-25.14: Set up basic uptime monitoring (optional)","Set up basic uptime monitoring (optional)","","To Do","High","monitoring infrastructure devops observability mvp"
"417","","Story","[FE] User Profile & Settings","As a user, I want to view and edit my profile so I can manage my account.

This ticket covers the frontend implementation of a user profile and settings screen.","- Profile screen accessible from app
- Display name editable
- Email displayed (read-only from OAuth)
- Profile picture displayed (from OAuth)
- Notification preferences toggleable
- Logout functionality works
- Delete account option available
- App version displayed","To Do","High","profile settings account mvp"
"418","417","Sub-task","US-26.1: Create/enhance Profile screen (screens/Profiles.tsx)","Create/enhance Profile screen (screens/Profiles.tsx)","","To Do","High","profile settings account mvp"
"419","417","Sub-task","US-26.2: Display user info section (name, email, avatar)","Display user info section (name, email, avatar)","","To Do","High","profile settings account mvp"
"420","417","Sub-task","US-26.3: Add edit display name functionality","Add edit display name functionality","","To Do","High","profile settings account mvp"
"421","417","Sub-task","US-26.4: Display notification preferences with toggles","Display notification preferences with toggles","","To Do","High","profile settings account mvp"
"422","417","Sub-task","US-26.5: Implement logout button with confirmation","Implement logout button with confirmation","","To Do","High","profile settings account mvp"
"423","417","Sub-task","US-26.6: Implement delete account with confirmation","Implement delete account with confirmation","","To Do","High","profile settings account mvp"
"424","417","Sub-task","US-26.7: Add deleteAccount mutation (or use existing)","Add deleteAccount mutation (or use existing)","","To Do","High","profile settings account mvp"
"425","417","Sub-task","US-26.8: Display app version and build number","Display app version and build number","","To Do","High","profile settings account mvp"
"426","417","Sub-task","US-26.9: Add support/feedback link","Add support/feedback link","","To Do","High","profile settings account mvp"
"427","417","Sub-task","US-26.10: Handle loading and error states","Handle loading and error states","","To Do","High","profile settings account mvp"
"428","417","Sub-task","US-26.11: Write unit tests for Profile screen","Write unit tests for Profile screen","","To Do","High","profile settings account mvp"
"429","","Story","[BE] User Profile & Account Management API","As a backend service, I need to provide API endpoints for profile management and account deletion so users can manage their accounts.","- updateProfile mutation works for all editable fields
- deleteAccount mutation removes/anonymizes user data
- Cascading deletes handle related data
- Soft delete preserves audit trail (optional)
- Requires authentication for all mutations","To Do","High","profile settings account backend mvp"
"430","429","Sub-task","US-26-BE.1: Verify updateProfile handles display name, notifications","Verify updateProfile handles display name, notifications","","To Do","High","profile settings account backend mvp"
"431","429","Sub-task","US-26-BE.2: Create deleteAccount mutation","Create deleteAccount mutation","","To Do","High","profile settings account backend mvp"
"432","429","Sub-task","US-26-BE.3: Implement soft delete (is_deleted flag) or hard delete","Implement soft delete (is_deleted flag) or hard delete","","To Do","High","profile settings account backend mvp"
"433","429","Sub-task","US-26-BE.4: Handle cascade for SavedEvents","Handle cascade for SavedEvents","","To Do","High","profile settings account backend mvp"
"434","429","Sub-task","US-26-BE.5: Handle cascade for Expenses","Handle cascade for Expenses","","To Do","High","profile settings account backend mvp"
"435","429","Sub-task","US-26-BE.6: Handle cascade for Itineraries","Handle cascade for Itineraries","","To Do","High","profile settings account backend mvp"
"436","429","Sub-task","US-26-BE.7: Anonymize user data if soft delete","Anonymize user data if soft delete","","To Do","High","profile settings account backend mvp"
"437","429","Sub-task","US-26-BE.8: Revoke OAuth tokens on delete","Revoke OAuth tokens on delete","","To Do","High","profile settings account backend mvp"
"438","429","Sub-task","US-26-BE.9: Write pytest tests for account deletion","Write pytest tests for account deletion","","To Do","High","profile settings account backend mvp"
"439","","Story","[FE] Offline Support & Caching","As a user, I want to access saved events and itinerary offline so I can use the app without internet.

This ticket covers implementing offline support using Apollo Client cache persistence.","- Saved events viewable offline
- Itinerary viewable offline
- Budget summary viewable offline
- Offline indicator displayed when no connection
- App doesn't crash when offline
- Sync occurs when connection restored
- Mutations queued or blocked with message","To Do","Medium","offline caching ux mvp"
"440","439","Sub-task","US-27.1: Install apollo3-cache-persist","Install apollo3-cache-persist","","To Do","Medium","offline caching ux mvp"
"441","439","Sub-task","US-27.2: Configure cache persistence with AsyncStorage","Configure cache persistence with AsyncStorage","","To Do","Medium","offline caching ux mvp"
"442","439","Sub-task","US-27.3: Restore cache on app launch","Restore cache on app launch","","To Do","Medium","offline caching ux mvp"
"443","439","Sub-task","US-27.4: Create useNetworkStatus hook (NetInfo)","Create useNetworkStatus hook (NetInfo)","","To Do","Medium","offline caching ux mvp"
"444","439","Sub-task","US-27.5: Create OfflineIndicator component","Create OfflineIndicator component","","To Do","Medium","offline caching ux mvp"
"445","439","Sub-task","US-27.6: Add offline indicator to app header/layout","Add offline indicator to app header/layout","","To Do","Medium","offline caching ux mvp"
"446","439","Sub-task","US-27.7: Handle mutation attempts when offline","Handle mutation attempts when offline","","To Do","Medium","offline caching ux mvp"
"447","439","Sub-task","US-27.8: Show user-friendly offline messages","Show user-friendly offline messages","","To Do","Medium","offline caching ux mvp"
"448","439","Sub-task","US-27.9: Implement cache-first fetch policy for key queries","Implement cache-first fetch policy for key queries","","To Do","Medium","offline caching ux mvp"
"449","439","Sub-task","US-27.10: Test offline scenarios","Test offline scenarios","","To Do","Medium","offline caching ux mvp"
"450","439","Sub-task","US-27.11: Document offline capabilities","Document offline capabilities","","To Do","Medium","offline caching ux mvp"
"451","","Story","[FE] Push Notifications","As a user, I want to receive reminders for upcoming itinerary items so I don't miss activities.

This ticket covers implementing push notifications using Expo Notifications.","- Notification permission requested on first use
- Permission status saved
- Itinerary reminders sent at scheduled time
- Notification tapped opens relevant screen
- Notifications respect user preferences
- Notification settings toggleable in profile","To Do","Low","notifications reminders mvp"
"452","451","Sub-task","US-28.1: Install and configure expo-notifications","Install and configure expo-notifications","","To Do","Low","notifications reminders mvp"
"453","451","Sub-task","US-28.2: Create notification permission request flow","Create notification permission request flow","","To Do","Low","notifications reminders mvp"
"454","451","Sub-task","US-28.3: Create useNotifications hook","Create useNotifications hook","","To Do","Low","notifications reminders mvp"
"455","451","Sub-task","US-28.4: Schedule local notification for itinerary items","Schedule local notification for itinerary items","","To Do","Low","notifications reminders mvp"
"456","451","Sub-task","US-28.5: Handle notification tap (deep linking)","Handle notification tap (deep linking)","","To Do","Low","notifications reminders mvp"
"457","451","Sub-task","US-28.6: Respect allow_push_notifications preference","Respect allow_push_notifications preference","","To Do","Low","notifications reminders mvp"
"458","451","Sub-task","US-28.7: Add notification scheduling when itinerary item created","Add notification scheduling when itinerary item created","","To Do","Low","notifications reminders mvp"
"459","451","Sub-task","US-28.8: Cancel notifications when item deleted/edited","Cancel notifications when item deleted/edited","","To Do","Low","notifications reminders mvp"
"460","451","Sub-task","US-28.9: Create notification settings UI in Profile","Create notification settings UI in Profile","","To Do","Low","notifications reminders mvp"
"461","451","Sub-task","US-28.10: Test notifications on device (not simulator)","Test notifications on device (not simulator)","","To Do","Low","notifications reminders mvp"
"462","451","Sub-task","US-28.11: Document notification setup","Document notification setup","","To Do","Low","notifications reminders mvp"
"463","","Story","[FE] Search & Filter Events","As a user, I want to search and filter events so I can find specific activities.

This ticket covers implementing search and filtering functionality for the events list.","- Search bar visible on Events screen
- Keyword search filters events by title/description
- Category filter shows only selected categories
- Date range filter shows events in range
- Location radius filter shows events within distance
- Clear filters option resets all filters
- Filter count badge shows active filters
- Results update as filters change","To Do","High","search filter events mvp"
"464","463","Sub-task","US-29.1: Add search bar to Events screen","Add search bar to Events screen","","To Do","High","search filter events mvp"
"465","463","Sub-task","US-29.2: Create FilterModal/FilterSheet component","Create FilterModal/FilterSheet component","","To Do","High","search filter events mvp"
"466","463","Sub-task","US-29.3: Implement keyword search with debounce","Implement keyword search with debounce","","To Do","High","search filter events mvp"
"467","463","Sub-task","US-29.4: Implement category filter (multi-select chips)","Implement category filter (multi-select chips)","","To Do","High","search filter events mvp"
"468","463","Sub-task","US-29.5: Implement date range filter (presets + custom)","Implement date range filter (presets + custom)","","To Do","High","search filter events mvp"
"469","463","Sub-task","US-29.6: Implement location radius filter (slider or picker)","Implement location radius filter (slider or picker)","","To Do","High","search filter events mvp"
"470","463","Sub-task","US-29.7: Implement price filter (free/paid/all)","Implement price filter (free/paid/all)","","To Do","High","search filter events mvp"
"471","463","Sub-task","US-29.8: Add filter icon with active count badge","Add filter icon with active count badge","","To Do","High","search filter events mvp"
"472","463","Sub-task","US-29.9: Add 'Clear All Filters' button","Add 'Clear All Filters' button","","To Do","High","search filter events mvp"
"473","463","Sub-task","US-29.10: Update getEvents query with filter parameters","Update getEvents query with filter parameters","","To Do","High","search filter events mvp"
"474","463","Sub-task","US-29.11: Show 'No results' empty state","Show 'No results' empty state","","To Do","High","search filter events mvp"
"475","463","Sub-task","US-29.12: Persist filter preferences (optional)","Persist filter preferences (optional)","","To Do","High","search filter events mvp"
"476","463","Sub-task","US-29.13: Write unit tests for filter logic","Write unit tests for filter logic","","To Do","High","search filter events mvp"
"477","","Story","[BE] Search & Filter Events API","As a backend service, I need to provide search and filter capabilities for events so users can find relevant activities.","- getEvents accepts search parameter
- getEvents accepts category filter (list)
- getEvents accepts date range filter
- getEvents accepts location + radius filter
- getEvents accepts isFree filter
- Filters combine correctly (AND logic)
- Empty filters return all events
- Only active events returned","To Do","High","search filter events backend mvp"
"478","477","Sub-task","US-29-BE.1: Add search parameter to getEvents query","Add search parameter to getEvents query","","To Do","High","search filter events backend mvp"
"479","477","Sub-task","US-29-BE.2: Implement keyword search (title, description icontains)","Implement keyword search (title, description icontains)","","To Do","High","search filter events backend mvp"
"480","477","Sub-task","US-29-BE.3: Add categories filter parameter (list of IDs)","Add categories filter parameter (list of IDs)","","To Do","High","search filter events backend mvp"
"481","477","Sub-task","US-29-BE.4: Implement category filtering","Implement category filtering","","To Do","High","search filter events backend mvp"
"482","477","Sub-task","US-29-BE.5: Add startDate/endDate filter parameters","Add startDate/endDate filter parameters","","To Do","High","search filter events backend mvp"
"483","477","Sub-task","US-29-BE.6: Implement date range filtering","Implement date range filtering","","To Do","High","search filter events backend mvp"
"484","477","Sub-task","US-29-BE.7: Add latitude/longitude/radiusKm parameters","Add latitude/longitude/radiusKm parameters","","To Do","High","search filter events backend mvp"
"485","477","Sub-task","US-29-BE.8: Implement location radius filtering (Haversine or PostGIS)","Implement location radius filtering (Haversine or PostGIS)","","To Do","High","search filter events backend mvp"
"486","477","Sub-task","US-29-BE.9: Add isFree filter parameter","Add isFree filter parameter","","To Do","High","search filter events backend mvp"
"487","477","Sub-task","US-29-BE.10: Implement price filtering","Implement price filtering","","To Do","High","search filter events backend mvp"
"488","477","Sub-task","US-29-BE.11: Ensure filters combine with AND logic","Ensure filters combine with AND logic","","To Do","High","search filter events backend mvp"
"489","477","Sub-task","US-29-BE.12: Write pytest tests for all filters","Write pytest tests for all filters","","To Do","High","search filter events backend mvp"
"490","","Story","[FE] Onboarding Flow","As a new user, I want to select my interests during onboarding so recommendations are personalized from the start.

This ticket covers the frontend implementation of a first-time user onboarding flow.","- Onboarding shown on first login
- Onboarding not shown on subsequent logins
- User can select multiple interests
- User can skip onboarding
- Location permission requested during onboarding
- Interests saved to profile
- Completion redirects to main app
- Skip redirects to main app with defaults","To Do","Medium","onboarding personalization ux mvp"
"491","490","Sub-task","US-30.1: Create OnboardingNavigator/flow","Create OnboardingNavigator/flow","","To Do","Medium","onboarding personalization ux mvp"
"492","490","Sub-task","US-30.2: Create WelcomeScreen component","Create WelcomeScreen component","","To Do","Medium","onboarding personalization ux mvp"
"493","490","Sub-task","US-30.3: Create InterestSelectionScreen component","Create InterestSelectionScreen component","","To Do","Medium","onboarding personalization ux mvp"
"494","490","Sub-task","US-30.4: Create LocationPermissionScreen component","Create LocationPermissionScreen component","","To Do","Medium","onboarding personalization ux mvp"
"495","490","Sub-task","US-30.5: Create NotificationPermissionScreen (optional)","Create NotificationPermissionScreen (optional)","","To Do","Medium","onboarding personalization ux mvp"
"496","490","Sub-task","US-30.6: Create CompletionScreen component","Create CompletionScreen component","","To Do","Medium","onboarding personalization ux mvp"
"497","490","Sub-task","US-30.7: Fetch available interests from backend","Fetch available interests from backend","","To Do","Medium","onboarding personalization ux mvp"
"498","490","Sub-task","US-30.8: Implement interest chip multi-select UI","Implement interest chip multi-select UI","","To Do","Medium","onboarding personalization ux mvp"
"499","490","Sub-task","US-30.9: Call CompleteOnboarding mutation on finish","Call CompleteOnboarding mutation on finish","","To Do","Medium","onboarding personalization ux mvp"
"500","490","Sub-task","US-30.10: Call SkipOnboarding mutation if skipped","Call SkipOnboarding mutation if skipped","","To Do","Medium","onboarding personalization ux mvp"
"501","490","Sub-task","US-30.11: Check is_onboarding_completed on app load","Check is_onboarding_completed on app load","","To Do","Medium","onboarding personalization ux mvp"
"502","490","Sub-task","US-30.12: Navigate to onboarding or main app based on status","Navigate to onboarding or main app based on status","","To Do","Medium","onboarding personalization ux mvp"
"503","490","Sub-task","US-30.13: Write unit tests for onboarding flow","Write unit tests for onboarding flow","","To Do","Medium","onboarding personalization ux mvp"
